,Topological_Decision_Tree_Accuracy,Decision_Tree_Accuracy,Topological_Decision_Tree_Balanced_Accuracy,Decision_Tree_Balanced_Accuracy,Topological_Decision_Tree_Recall,Decision_Tree_Recall,Topological_Decision_Tree_Precision,Decision_Tree_Precision,Topological_Decision_Tree_F1_Score,Decision_Tree_F1_Score,Topological_Decision_Tree_AUC_ROC,Decision_Tree_AUC_ROC
count,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0,848.0
mean,0.653868951132191,0.6635865145474173,0.629869252864187,0.6506241738802271,0.43525774687869284,0.5471267138417654,0.6654440948963065,0.6377202742770959,0.5147789899718204,0.5823454669279418,0.629869252864187,0.6506241738802271
std,0.07057675504242945,0.07106450347387988,0.07052496830188197,0.07223036124888986,0.13608699399609878,0.12429052714632903,0.12395283942705142,0.10456424819607281,0.1218612596637519,0.10073442149047802,0.07052496830188199,0.07223036124888986
min,0.4666666666666667,0.4811320754716981,0.4615987460815047,0.4525641025641025,0.1025641025641025,0.2051282051282051,0.3333333333333333,0.3076923076923077,0.16,0.2461538461538461,0.4615987460815047,0.4525641025641025
25%,0.6027397260273972,0.6111111111111112,0.5749610187110187,0.5983055361363561,0.34194480102695757,0.4516129032258064,0.5833333333333334,0.5555555555555556,0.4333333333333333,0.5104297037964122,0.5749610187110187,0.5983055361363561
50%,0.6534640522875816,0.6666666666666666,0.6307043915617132,0.6541766220049903,0.43693181818181814,0.5454545454545454,0.6666666666666666,0.6424162257495591,0.5230769230769231,0.5865817091454273,0.6307043915617132,0.6541766220049903
75%,0.7054794520547946,0.7142857142857143,0.67894370122631,0.7030074949186991,0.5217391304347826,0.6448429541595926,0.75,0.7227011494252873,0.6046511627906976,0.6594539481137419,0.67894370122631,0.7030074949186992
max,0.8309859154929577,0.8309859154929577,0.8050065876152832,0.8232998885172798,0.7931034482758621,0.8490566037735849,1.0,0.88,0.7666666666666667,0.8,0.8050065876152833,0.8232998885172799
