Dataset,Topological_Decision_Tree_Accuracy,Topological_Decision_Tree_Precision,Topological_Decision_Tree_Recall,Topological_Decision_Tree_Balanced_Accuracy,Topological_Decision_Tree_F1_Score,Topological_Decision_Tree_AUC_ROC,Decision_Tree_Accuracy,Decision_Tree_Precision,Decision_Tree_Recall,Decision_Tree_Balanced_Accuracy,Decision_Tree_F1_Score,Decision_Tree_AUC_ROC
CHEMBL3705790,0.5789473684210527,0.6190476190476191,0.35135135135135137,0.5731115731115731,0.4482758620689655,0.5731115731115731,0.5657894736842105,0.5833333333333334,0.3783783783783784,0.5609840609840611,0.45901639344262296,0.5609840609840611
CHEMBL3887188,0.6875,0.6470588235294118,0.44,0.6430769230769231,0.5238095238095238,0.6430769230769231,0.640625,0.5384615384615384,0.56,0.6261538461538462,0.5490196078431373,0.6261538461538462
CHEMBL3705791,0.6774193548387096,0.6153846153846154,0.34782608695652173,0.6098104793756968,0.4444444444444444,0.6098104793756968,0.7419354838709677,0.64,0.6956521739130435,0.7324414715719063,0.6666666666666666,0.7324414715719063
CHEMBL3887758,0.5568181818181818,0.5925925925925926,0.36363636363636365,0.5568181818181819,0.4507042253521127,0.5568181818181819,0.6136363636363636,0.65625,0.4772727272727273,0.6136363636363636,0.5526315789473685,0.6136363636363636
CHEMBL3705971,0.6235294117647059,0.7083333333333334,0.40476190476190477,0.6209856035437431,0.5151515151515151,0.6209856035437429,0.6823529411764706,0.7777777777777778,0.5,0.6802325581395349,0.6086956521739131,0.6802325581395349
CHEMBL3888268,0.5507246376811594,0.5,0.25806451612903225,0.5237691001697793,0.3404255319148936,0.5237691001697793,0.6086956521739131,0.5666666666666667,0.5483870967741935,0.6031409168081494,0.5573770491803278,0.6031409168081494
CHEMBL3706316,0.5342465753424658,0.4,0.3448275862068966,0.5019592476489028,0.37037037037037035,0.5019592476489029,0.5753424657534246,0.46875,0.5172413793103449,0.5654388714733543,0.4918032786885246,0.5654388714733543
CHEMBL3887987,0.6944444444444444,0.7727272727272727,0.5,0.6842105263157895,0.6071428571428571,0.6842105263157896,0.6111111111111112,0.65,0.38235294117647056,0.5990712074303406,0.48148148148148145,0.5990712074303405
CHEMBL3706089,0.6754385964912281,0.6666666666666666,0.425531914893617,0.6381390917751667,0.5194805194805194,0.6381390917751668,0.7543859649122807,0.7209302325581395,0.6595744680851063,0.740234995236583,0.6888888888888889,0.740234995236583
CHEMBL3888295,0.6388888888888888,0.5348837209302325,0.7931034482758621,0.6639935846030474,0.6388888888888888,0.6639935846030474,0.7083333333333334,0.625,0.6896551724137931,0.7052927024859663,0.6557377049180327,0.7052927024859663
CHEMBL3705542,0.5972222222222222,0.6666666666666666,0.24242424242424243,0.56993006993007,0.35555555555555557,0.5699300699300699,0.6388888888888888,0.6296296296296297,0.5151515151515151,0.6293706293706294,0.5666666666666667,0.6293706293706294
CHEMBL3707962,0.6190476190476191,0.6666666666666666,0.15384615384615385,0.5498960498960499,0.25,0.5498960498960499,0.6666666666666666,0.6923076923076923,0.34615384615384615,0.619022869022869,0.46153846153846156,0.619022869022869
CHEMBL3705813,0.7323943661971831,0.65,0.52,0.6839130434782609,0.5777777777777777,0.6839130434782609,0.7323943661971831,0.625,0.6,0.7021739130434783,0.6122448979591837,0.7021739130434783
CHEMBL3887945,0.5930232558139535,0.6,0.3076923076923077,0.5687397708674304,0.4067796610169492,0.5687397708674304,0.6744186046511628,0.7391304347826086,0.4358974358974359,0.6541189307146754,0.5483870967741935,0.6541189307146754
CHEMBL3734552,0.7215189873417721,0.7037037037037037,0.5757575757575758,0.7009222661396575,0.6333333333333333,0.7009222661396574,0.6962025316455697,0.6666666666666666,0.5454545454545454,0.674901185770751,0.6,0.674901185770751
CHEMBL3705362,0.7222222222222222,0.7368421052631579,0.2857142857142857,0.6165413533834586,0.4117647058823529,0.6165413533834587,0.7986111111111112,0.7,0.7142857142857143,0.7781954887218046,0.7070707070707071,0.7781954887218044
CHEMBL3707951,0.6825396825396826,0.7619047619047619,0.5161290322580645,0.6799395161290323,0.6153846153846154,0.6799395161290323,0.7936507936507936,0.9090909090909091,0.6451612903225806,0.7913306451612903,0.7547169811320755,0.7913306451612903
CHEMBL3887033,0.71,0.7,0.6222222222222222,0.702020202020202,0.6588235294117647,0.7020202020202021,0.73,0.6875,0.7333333333333333,0.7303030303030302,0.7096774193548387,0.7303030303030303
CHEMBL3887796,0.6813186813186813,0.7666666666666667,0.5111111111111111,0.6794685990338164,0.6133333333333333,0.6794685990338164,0.7362637362637363,0.7692307692307693,0.6666666666666666,0.7355072463768115,0.7142857142857143,0.7355072463768115
CHEMBL3887757,0.5164835164835165,0.3870967741935484,0.32432432432432434,0.48623623623623624,0.35294117647058826,0.48623623623623624,0.5934065934065934,0.5,0.35135135135135137,0.5553053053053053,0.4126984126984127,0.5553053053053053
CHEMBL3705464,0.639344262295082,0.75,0.32142857142857145,0.6152597402597403,0.45,0.6152597402597403,0.639344262295082,0.6875,0.39285714285714285,0.6206709956709957,0.5,0.6206709956709957
CHEMBL3887679,0.6266666666666667,0.5384615384615384,0.4666666666666667,0.6,0.5,0.6000000000000001,0.6133333333333333,0.5161290322580645,0.5333333333333333,0.6,0.5245901639344263,0.6000000000000001
CHEMBL3887296,0.6329113924050633,0.46153846153846156,0.21428571428571427,0.538515406162465,0.2926829268292683,0.538515406162465,0.6708860759493671,0.55,0.39285714285714285,0.6081932773109243,0.4583333333333333,0.6081932773109243
CHEMBL3888825,0.684931506849315,0.5909090909090909,0.48148148148148145,0.642914653784219,0.5306122448979592,0.642914653784219,0.684931506849315,0.5833333333333334,0.5185185185185185,0.6505636070853462,0.5490196078431373,0.6505636070853463
CHEMBL3887849,0.6966292134831461,0.8529411764705882,0.5686274509803921,0.7185242518059856,0.6823529411764706,0.7185242518059856,0.7415730337078652,0.8333333333333334,0.6862745098039216,0.751031991744066,0.7526881720430108,0.7510319917440661
CHEMBL3889082,0.6049382716049383,0.6,0.47368421052631576,0.5973072215422276,0.5294117647058824,0.5973072215422275,0.6296296296296297,0.6428571428571429,0.47368421052631576,0.620563035495716,0.5454545454545454,0.620563035495716
CHEMBL1267245,0.5471698113207547,0.6666666666666666,0.2857142857142857,0.5628571428571428,0.4,0.5628571428571428,0.6037735849056604,0.675,0.48214285714285715,0.6110714285714286,0.5625,0.6110714285714286
CHEMBL3706037,0.6484375,0.7058823529411765,0.23076923076923078,0.5824898785425101,0.34782608695652173,0.5824898785425102,0.6640625,0.6363636363636364,0.40384615384615385,0.6229757085020242,0.49411764705882355,0.6229757085020242
CHEMBL1267250,0.6060606060606061,0.5,0.1282051282051282,0.5224358974358974,0.20408163265306123,0.5224358974358974,0.5656565656565656,0.42857142857142855,0.3076923076923077,0.5205128205128204,0.3582089552238806,0.5205128205128206
CHEMBL3889083,0.48333333333333334,0.5,0.3548387096774194,0.4877641824249166,0.41509433962264153,0.48776418242491665,0.48333333333333334,0.5,0.3870967741935484,0.48665183537263623,0.43636363636363634,0.48665183537263634
CHEMBL3880338,0.7073170731707317,0.8055555555555556,0.5,0.6961538461538461,0.6170212765957447,0.6961538461538461,0.7479674796747967,0.7872340425531915,0.6379310344827587,0.7420424403183024,0.7047619047619048,0.7420424403183025
CHEMBL3888980,0.5606060606060606,0.5,0.3448275862068966,0.5372786579683131,0.40816326530612246,0.5372786579683132,0.5757575757575758,0.5185185185185185,0.4827586206896552,0.565703634669152,0.5,0.565703634669152
CHEMBL3705924,0.6,0.7222222222222222,0.38235294117647056,0.6105313092979128,0.5,0.6105313092979128,0.6153846153846154,0.68,0.5,0.6209677419354839,0.576271186440678,0.6209677419354838
CHEMBL3721139,0.6290322580645161,0.6,0.24,0.5659459459459459,0.34285714285714286,0.5659459459459459,0.5967741935483871,0.5,0.48,0.5778378378378378,0.4897959183673469,0.5778378378378378
CHEMBL3734252,0.7746478873239436,0.8461538461538461,0.44,0.6982608695652174,0.5789473684210527,0.6982608695652174,0.7887323943661971,0.7777777777777778,0.56,0.7365217391304348,0.6511627906976745,0.7365217391304348
CHEMBL1267247,0.5882352941176471,0.6153846153846154,0.3902439024390244,0.5814855875831486,0.47761194029850745,0.5814855875831485,0.6470588235294118,0.627906976744186,0.6585365853658537,0.647450110864745,0.6428571428571429,0.647450110864745
